GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP23,NHSP_POP23,HSP_POP23,WHT_NHSP23,BLK_NHSP23,AIA_NHSP23,ASN_NHSP23,HPI_NHSP23,OTH_NHSP23,2OM_NHSP23,BLK_ALL23,AIA_ALL23,ASN_ALL23,HPI_ALL23,OTH_ALL23
51620,51, Virginia,620,Franklin city,8212,7953,259,3102,4244,0,188,0,0,419,4477,310,199,25,247
51630,51, Virginia,630,Fredericksburg city,28383,24875,3508,15795,5617,30,1053,0,231,2149,7466,644,1774,42,2732
51640,51, Virginia,640,Galax city,6698,5641,1057,5076,327,29,10,22,21,156,428,66,39,22,780
51650,51, Virginia,650,Hampton city,137334,128250,9084,49231,65782,305,2997,81,808,9046,74727,3601,5245,455,6135
51660,51, Virginia,660,Harrisonburg city,51492,39602,11890,31608,3620,11,1650,0,308,2405,5963,800,2699,152,8820
51670,51, Virginia,670,Hopewell city,22944,20973,1971,9547,9443,3,261,0,20,1699,11075,302,554,14,1162
51678,51, Virginia,678,Lexington city,7420,7058,362,5873,346,37,238,0,29,535,449,305,422,0,275
51680,51, Virginia,680,Lynchburg city,79255,75335,3920,48062,21727,91,1709,111,753,2882,23683,1222,2698,391,3296
51683,51, Virginia,683,Manassas city,42674,24318,18356,14713,5287,51,2357,14,181,1715,6388,850,3041,76,11718
51685,51, Virginia,685,Manassas Park city,16923,9152,7771,4634,1848,0,1786,0,0,884,2733,616,1937,25,4885
51690,51, Virginia,690,Martinsville city,13584,12493,1091,5669,6004,0,153,13,122,532,6529,114,191,13,1051
51700,51, Virginia,700,Newport News city,184774,165300,19474,73541,74644,370,6069,153,1538,8985,82833,2228,9407,1344,15360
51710,51, Virginia,710,Norfolk city,235037,211841,23196,97557,91781,610,8541,244,1168,11940,102695,3938,12333,1091,16251
51720,51, Virginia,720,Norton city,3620,3620,0,3444,48,0,2,0,0,126,95,77,10,0,10
51730,51, Virginia,730,Petersburg city,33365,31352,2013,4888,24876,17,412,21,48,1090,26891,115,613,59,916
51735,51, Virginia,735,Poquoson city,12556,12066,490,11145,209,15,225,0,61,411,290,142,424,0,201
51740,51, Virginia,740,Portsmouth city,97299,92357,4942,34957,49782,140,1404,26,487,5561,54897,2490,2491,278,3964
51750,51, Virginia,750,Radford city,16505,15798,707,13424,1514,11,367,0,48,434,1706,191,462,0,450
51760,51, Virginia,760,Richmond city,227595,204156,23439,93413,94783,335,4703,109,1053,9760,103279,2979,7249,356,19691
51770,51, Virginia,770,Roanoke city,98677,90218,8459,54810,28099,85,3087,95,439,3603,31065,1094,3806,146,6701
51775,51, Virginia,775,Salem city,25477,24338,1139,20986,1957,39,495,24,228,609,2376,192,580,92,952
51790,51, Virginia,790,Staunton city,25765,24624,1141,20325,2586,33,393,68,35,1184,3690,300,504,127,715
51800,51, Virginia,800,Suffolk city,96638,91858,4780,44937,40147,66,1829,0,635,4244,43226,1563,3114,48,4377
51810,51, Virginia,810,Virginia Beach city,457066,416212,40854,271315,83839,496,32159,440,2214,25749,102577,6502,45785,2791,27842
51820,51, Virginia,820,Waynesboro city,22574,20503,2071,16386,2482,8,397,0,0,1230,3718,337,528,0,1219
51830,51, Virginia,830,Williamsburg city,15564,14317,1247,10468,2361,0,1050,0,27,411,2688,186,1250,25,1011
51840,51, Virginia,840,Winchester city,27981,22370,5611,17552,2472,36,647,0,188,1475,3697,334,809,3,4113
